2025-06-17 12:03:36,854 INFO    MainThread:29907 [wandb_setup.py:_flush():76] Configure stats pid to 29907
2025-06-17 12:03:36,855 INFO    MainThread:29907 [wandb_setup.py:_flush():76] Loading settings from /Users/keyshavmor/.config/wandb/settings
2025-06-17 12:03:36,855 INFO    MainThread:29907 [wandb_setup.py:_flush():76] Loading settings from /Users/keyshavmor/ETH/Master-Thesis/perceptualpolicy/alm-on-mac/wandb/settings
2025-06-17 12:03:36,855 INFO    MainThread:29907 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-06-17 12:03:36,855 INFO    MainThread:29907 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'alm-on-mac/main-alm-mac.py', 'program': '/Users/keyshavmor/ETH/Master-Thesis/perceptualpolicy/alm-on-mac/main-alm-mac.py'}
2025-06-17 12:03:36,855 INFO    MainThread:29907 [wandb_init.py:_log_setup():461] Logging user logs to /Users/keyshavmor/ETH/Master-Thesis/perceptualpolicy/alm-on-mac/wandb/run-20250617_120336-20yuyjq3/logs/debug.log
2025-06-17 12:03:36,855 INFO    MainThread:29907 [wandb_init.py:_log_setup():462] Logging internal logs to /Users/keyshavmor/ETH/Master-Thesis/perceptualpolicy/alm-on-mac/wandb/run-20250617_120336-20yuyjq3/logs/debug-internal.log
2025-06-17 12:03:36,855 INFO    MainThread:29907 [wandb_init.py:init():495] calling init triggers
2025-06-17 12:03:36,855 INFO    MainThread:29907 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2025-06-17 12:03:36,855 INFO    MainThread:29907 [wandb_init.py:init():548] starting backend
2025-06-17 12:03:36,855 INFO    MainThread:29907 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-06-17 12:03:36,870 INFO    MainThread:29907 [backend.py:ensure_launched():217] starting backend process...
2025-06-17 12:03:36,876 INFO    MainThread:29907 [backend.py:ensure_launched():222] started backend process with pid: 29917
2025-06-17 12:03:36,877 INFO    MainThread:29907 [wandb_init.py:init():558] backend started and connected
2025-06-17 12:03:36,880 INFO    MainThread:29907 [wandb_init.py:init():634] updated telemetry
2025-06-17 12:03:36,892 INFO    MainThread:29907 [wandb_init.py:init():665] communicating run to backend with 30 second timeout
2025-06-17 12:03:37,542 INFO    MainThread:29907 [wandb_run.py:_on_init():1919] communicating current version
2025-06-17 12:03:37,748 INFO    MainThread:29907 [wandb_run.py:_on_init():1923] got version response upgrade_message: "wandb version 0.20.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-06-17 12:03:37,748 INFO    MainThread:29907 [wandb_init.py:init():700] starting run threads in backend
2025-06-17 12:03:39,216 INFO    MainThread:29907 [wandb_run.py:_console_start():1893] atexit reg
2025-06-17 12:03:39,216 INFO    MainThread:29907 [wandb_run.py:_redirect():1766] redirect: SettingsConsole.REDIRECT
2025-06-17 12:03:39,216 INFO    MainThread:29907 [wandb_run.py:_redirect():1771] Redirecting console.
2025-06-17 12:03:39,217 INFO    MainThread:29907 [wandb_run.py:_redirect():1827] Redirects installed.
2025-06-17 12:03:39,217 INFO    MainThread:29907 [wandb_init.py:init():732] run started, returning control to user process
2025-06-17 12:11:57,551 INFO    MainThread:29907 [wandb_run.py:_atexit_cleanup():1862] got exitcode: 255
2025-06-17 12:11:57,552 INFO    MainThread:29907 [wandb_run.py:_restore():1834] restore
